TXNID,STARTTIME,ENDTIME,,,,STARTTIME,ENDTIME,SERVICE_NAME,,,,,
VLC01,23-07-20 04:48:19:814,23-07-20 04:48:20:919,,,,23-07-20 04:48:21:266,23-07-20 04:48:21:441,GetUserReportApplicationServiceSpi,A5SM9qwVDkYAkgCeYJ0AAACE,,,,
PLCBDT,23-07-20 04:48:17:043,23-07-20 04:48:17:373,,,,23-07-20 04:48:20:841,23-07-20 04:48:20:894,SiteToUser,A4CGR6wVDkYAkgCeYJwAAACE,,,,
CBDT,23-07-20 04:48:14:770,23-07-20 04:48:14:839,,,,23-07-20 04:48:20:111,23-07-20 04:48:20:825,AdaptiveAuthenticationService,A4CGR6wVDkYAkgCeYJwAAACE,,,,
,,,,,,23-07-20 04:48:17:099,23-07-20 04:48:17:260,MerchantDetailsApplicationServiceSpiService,A1YJ36wVDkYAkgCeYJsAAACE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BILLDESKEM,S2S,,,,,,,,,,,,
,,,,,,,,,,,,,
XTXFT07,23-07-20 04:57:46:575,23-07-20 04:57:47:583,,,,23-07-20 04:57:47:794,23-07-20 04:57:47:823,SMSService,JUhHOKwVDkYBLAD60BAAAAAI,,,,
OTPALTXTXFT06,23-07-20 04:57:41:510,23-07-20 04:57:42:431,,,,23-07-20 04:57:47:633,23-07-20 04:57:47:773,SMSService,JUhHOKwVDkYBLAD60BAAAAAI,,,,
XTXFT07,23-07-20 04:57:38:664,23-07-20 04:57:39:227,,,,23-07-20 04:57:46:857,23-07-20 04:57:47:259,FundTransferTransactionApplicationServiceSpi,JUhHOKwVDkYBLAD60BAAAAAI,,,,
FCMD01,23-07-20 04:57:36:493,23-07-20 04:57:36:906,,,,23-07-20 04:57:42:286,23-07-20 04:57:42:418,SMSService,JPqlXKwVDkYBLAD6z-0AAAAF,,,,
LGNXT,23-07-20 04:57:30:826,23-07-20 04:57:31:660,,,,23-07-20 04:57:39:171,23-07-20 04:57:39:211,SMSService,JM9r1awVDkYBLAD6z-gAAAAI,,,,
VLC01,23-07-20 04:57:29:833,23-07-20 04:57:30:610,,,,23-07-20 04:57:36:637,23-07-20 04:57:36:851,FetchCustomerAndMerchantDetailsApplicationServiceSpiService,JK6Pp6wVDkYBLAD6z8wAAAAI,,,,
